,good_matches_day,good_matches_num,bad_matches_day,bad_matches_num,date,time
0,[],0,[],0,03-20 19:55,03-20
1,[],0,[],0,03-20 19:57,03-20
2,[],0,[],0,03-20 20:06,03-20
3,[],0,[],0,03-20 20:13,03-20
4,[],0,[],0,03-20 20:35,03-20
5,['卖'],1,[],0,03-20 20:41,03-20
6,[],0,[],0,03-20 20:45,03-20
7,[],0,[],0,03-20 21:02,03-20
8,[],0,[],0,03-20 21:04,03-20
9,[],0,[],0,03-20 21:05,03-20
10,[],0,[],0,03-20 21:07,03-20
11,[],0,[],0,03-20 21:11,03-20
12,"['空头', '做空']",2,['涨'],1,03-20 21:13,03-20
13,[],0,[],0,03-20 21:13,03-20
14,[],0,[],0,03-20 21:24,03-20
15,[],0,[],0,03-20 21:26,03-20
16,['大跌'],1,[],0,03-20 21:31,03-20
17,"['减持', '流出']",2,[],0,03-20 21:53,03-20
18,[],0,"['多', '涨幅']",2,03-20 22:08,03-20
19,"['跌', '跌']",2,['涨'],1,03-20 22:19,03-20
20,[],0,[],0,03-20 22:45,03-20
21,['跌'],1,"['利好', '利好']",2,03-20 22:50,03-20
22,[],0,[],0,03-20 23:12,03-20
23,[],0,['上涨'],1,03-20 23:15,03-20
24,[],0,[],0,03-20 23:40,03-20
25,[],0,[],0,03-21 00:20,03-21
26,[],0,[],0,03-21 00:29,03-21
27,[],0,"['补', '买']",2,03-21 01:11,03-21
28,[],0,[],0,03-21 01:53,03-21
29,[],0,['增加'],1,03-21 04:50,03-21
30,[],0,[],0,03-21 04:58,03-21
31,[],0,[],0,03-21 06:21,03-21
32,[],0,[],0,03-21 07:15,03-21
33,[],0,[],0,03-21 07:21,03-21
34,[],0,[],0,03-21 07:28,03-21
35,[],0,[],0,03-21 07:30,03-21
36,[],0,"['多', '利好']",2,03-21 07:30,03-21
37,[],0,[],0,03-21 07:30,03-21
38,[],0,[],0,03-21 07:36,03-21
39,[],0,[],0,03-21 07:36,03-21
40,[],0,[],0,03-21 07:51,03-21
41,['跌'],1,['上涨'],1,03-21 08:06,03-21
42,[],0,[],0,03-21 08:06,03-21
43,[],0,[],0,03-21 08:24,03-21
44,[],0,[],0,03-21 08:25,03-21
45,[],0,[],0,03-21 08:26,03-21
46,[],0,[],0,03-21 08:38,03-21
47,['下跌'],1,['上涨'],1,03-21 08:46,03-21
48,[],0,[],0,03-21 08:46,03-21
49,[],0,"['流入', '流入', '涨幅']",3,03-21 08:48,03-21
50,[],0,[],0,03-21 08:57,03-21
51,[],0,[],0,03-21 09:00,03-21
52,[],0,"['上涨', '上涨', '上涨', '上涨']",4,03-21 09:08,03-21
53,[],0,[],0,03-21 09:14,03-21
54,[],0,['利好'],1,03-21 09:17,03-21
55,[],0,['多'],1,03-21 09:18,03-21
56,[],0,['买'],1,03-21 09:19,03-21
57,[],0,[],0,03-21 09:19,03-21
58,[],0,[],0,03-21 09:19,03-21
59,[],0,[],0,03-21 09:21,03-21
60,[],0,[],0,03-21 09:24,03-21
61,[],0,[],0,03-21 09:24,03-21
62,[],0,[],0,03-21 09:26,03-21
63,[],0,[],0,03-21 09:33,03-21
64,[],0,[],0,03-21 09:34,03-21
65,[],0,[],0,03-21 09:34,03-21
66,[],0,[],0,03-21 09:36,03-21
67,[],0,[],0,03-21 09:36,03-21
68,['跌'],1,[],0,03-21 09:37,03-21
69,[],0,[],0,03-21 09:37,03-21
70,[],0,[],0,03-21 09:37,03-21
71,[],0,[],0,03-21 09:39,03-21
72,[],0,[],0,03-21 09:40,03-21
73,['空'],1,[],0,03-21 09:40,03-21
74,[],0,['拉升'],1,03-21 09:42,03-21
75,[],0,[],0,03-21 09:42,03-21
76,[],0,['多'],1,03-21 09:42,03-21
77,"['卖', '卖']",2,[],0,03-21 09:43,03-21
78,[],0,[],0,03-21 09:43,03-21
79,[],0,[],0,03-21 09:44,03-21
80,[],0,[],0,03-21 09:44,03-21
81,[],0,[],0,03-21 09:46,03-21
82,[],0,[],0,03-21 09:49,03-21
83,[],0,[],0,03-21 09:51,03-21
84,[],0,[],0,03-21 09:51,03-21
85,[],0,['涨'],1,03-21 09:53,03-21
86,[],0,[],0,03-21 09:53,03-21
87,[],0,[],0,03-21 09:53,03-21
88,[],0,[],0,03-21 09:53,03-21
89,[],0,[],0,03-21 09:54,03-21
90,[],0,"['涨', '多']",2,03-21 09:55,03-21
91,[],0,[],0,03-21 09:55,03-21
92,[],0,[],0,03-21 09:55,03-21
93,[],0,[],0,03-21 09:56,03-21
94,['下跌'],1,"['上涨', '上涨', '上涨']",3,03-21 09:56,03-21
95,[],0,[],0,03-21 09:56,03-21
96,[],0,[],0,03-21 09:58,03-21
97,[],0,[],0,03-21 09:59,03-21
98,[],0,[],0,03-21 09:59,03-21
99,[],0,['大涨'],1,03-21 10:00,03-21
100,[],0,['涨'],1,03-21 10:00,03-21
101,[],0,[],0,03-21 10:00,03-21
102,[],0,[],0,03-21 10:00,03-21
103,[],0,[],0,03-21 10:00,03-21
104,['卖'],1,['买'],1,03-21 10:01,03-21
105,[],0,[],0,03-21 10:01,03-21
106,[],0,[],0,03-21 10:01,03-21
107,[],0,['涨'],1,03-21 10:02,03-21
108,[],0,[],0,03-21 10:02,03-21
109,[],0,['上涨'],1,03-21 10:02,03-21
110,[],0,[],0,03-21 10:03,03-21
111,"['卖', '卖']",2,[],0,03-21 10:03,03-21
112,['空头'],1,[],0,03-21 10:04,03-21
113,[],0,[],0,03-21 10:05,03-21
114,[],0,[],0,03-21 10:05,03-21
115,[],0,[],0,03-21 10:05,03-21
116,[],0,[],0,03-21 10:06,03-21
117,[],0,[],0,03-21 10:06,03-21
118,[],0,"['涨', '多']",2,03-21 10:06,03-21
119,[],0,[],0,03-21 10:06,03-21
120,[],0,[],0,03-21 10:06,03-21
121,[],0,[],0,03-21 10:06,03-21
122,[],0,[],0,03-21 10:07,03-21
123,['卖'],1,['买'],1,03-21 10:07,03-21
124,[],0,[],0,03-21 10:08,03-21
125,[],0,[],0,03-21 10:08,03-21
126,[],0,['入场'],1,03-21 10:08,03-21
127,[],0,[],0,03-21 10:08,03-21
128,['卖'],1,[],0,03-21 10:08,03-21
129,[],0,[],0,03-21 10:09,03-21
130,[],0,[],0,03-21 10:09,03-21
131,[],0,[],0,03-21 10:10,03-21
132,[],0,[],0,03-21 10:11,03-21
133,[],0,[],0,03-21 10:11,03-21
134,[],0,[],0,03-21 10:13,03-21
135,[],0,[],0,03-21 10:13,03-21
136,[],0,['涨'],1,03-21 10:13,03-21
137,[],0,[],0,03-21 10:13,03-21
138,[],0,[],0,03-21 10:14,03-21
139,[],0,['涨'],1,03-21 10:14,03-21
140,[],0,[],0,03-21 10:14,03-21
141,[],0,[],0,03-21 10:15,03-21
142,[],0,[],0,03-21 10:17,03-21
143,[],0,[],0,03-21 10:17,03-21
144,[],0,[],0,03-21 10:18,03-21
145,[],0,[],0,03-21 10:19,03-21
146,[],0,[],0,03-21 10:19,03-21
147,[],0,[],0,03-21 10:19,03-21
148,[],0,[],0,03-21 10:19,03-21
149,[],0,[],0,03-21 10:22,03-21
150,[],0,[],0,03-21 10:25,03-21
151,[],0,[],0,03-21 10:26,03-21
152,[],0,['流入'],1,03-21 10:26,03-21
153,[],0,[],0,03-21 10:26,03-21
154,[],0,[],0,03-21 10:26,03-21
155,[],0,[],0,03-21 10:26,03-21
156,[],0,[],0,03-21 10:27,03-21
157,[],0,[],0,03-21 10:28,03-21
158,[],0,[],0,03-21 10:29,03-21
159,[],0,['暴涨'],1,03-21 10:29,03-21
160,[],0,[],0,03-21 10:30,03-21
161,[],0,[],0,03-21 10:30,03-21
162,[],0,[],0,03-21 10:33,03-21
163,[],0,[],0,03-21 10:34,03-21
164,['看空'],1,[],0,03-21 10:34,03-21
165,[],0,[],0,03-21 10:35,03-21
166,[],0,[],0,03-21 10:36,03-21
167,[],0,['买'],1,03-21 10:36,03-21
168,[],0,"['买', '多']",2,03-21 10:37,03-21
169,[],0,[],0,03-21 10:38,03-21
170,[],0,[],0,03-21 10:38,03-21
171,[],0,[],0,03-21 10:39,03-21
172,['卖'],1,"['买', '赚']",2,03-21 10:39,03-21
173,[],0,[],0,03-21 10:39,03-21
174,[],0,[],0,03-21 10:39,03-21
175,"['出货', '下跌']",2,[],0,03-21 10:39,03-21
176,['跌'],1,[],0,03-21 10:39,03-21
177,[],0,[],0,03-21 10:40,03-21
178,"['下跌', '阴线', '下跌']",3,"['大阳线', '多', '上涨']",3,03-21 10:40,03-21
179,[],0,['上涨'],1,03-21 10:41,03-21
180,[],0,[],0,03-21 10:43,03-21
181,[],0,[],0,03-21 10:44,03-21
182,[],0,['买'],1,03-21 10:44,03-21
183,[],0,['涨'],1,03-21 10:45,03-21
184,[],0,[],0,03-21 10:46,03-21
185,[],0,[],0,03-21 10:47,03-21
186,[],0,[],0,03-21 10:48,03-21
187,[],0,[],0,03-21 10:48,03-21
188,['阴跌'],1,[],0,03-21 10:52,03-21
189,['亏'],1,['买'],1,03-21 10:52,03-21
190,[],0,[],0,03-21 10:54,03-21
191,['阴跌'],1,[],0,03-21 10:54,03-21
192,[],0,[],0,03-21 10:54,03-21
193,[],0,[],0,03-21 10:58,03-21
194,[],0,"['流入', '多']",2,03-21 10:58,03-21
195,['砸'],1,[],0,03-21 11:00,03-21
196,[],0,[],0,03-21 11:00,03-21
197,[],0,[],0,03-21 11:00,03-21
198,[],0,[],0,03-21 11:03,03-21
199,[],0,['流入'],1,03-21 11:04,03-21
200,[],0,[],0,03-21 11:05,03-21
201,[],0,[],0,03-21 11:06,03-21
202,[],0,[],0,03-21 11:06,03-21
203,[],0,[],0,03-21 11:07,03-21
204,[],0,[],0,03-21 11:07,03-21
205,[],0,['流入'],1,03-21 11:09,03-21
206,[],0,[],0,03-21 11:11,03-21
207,[],0,[],0,03-21 11:11,03-21
208,[],0,[],0,03-21 11:12,03-21
209,[],0,[],0,03-21 11:12,03-21
210,[],0,[],0,03-21 11:15,03-21
211,"['卖', '卖', '卖']",3,[],0,03-21 11:18,03-21
212,[],0,[],0,03-21 11:23,03-21
213,[],0,[],0,03-21 11:24,03-21
214,[],0,[],0,03-21 11:24,03-21
215,[],0,[],0,03-21 11:38,03-21
216,[],0,"['涨', '涨', '涨', '涨', '涨', '涨', '涨', '涨', '涨']",9,03-21 11:44,03-21
217,[],0,[],0,03-21 11:46,03-21
218,[],0,[],0,03-21 11:49,03-21
219,[],0,[],0,03-21 11:51,03-21
220,[],0,[],0,03-21 11:52,03-21
221,[],0,['多'],1,03-21 11:54,03-21
222,[],0,[],0,03-21 11:54,03-21
223,[],0,[],0,03-21 11:55,03-21
224,[],0,[],0,03-21 11:56,03-21
225,[],0,[],0,03-21 12:01,03-21
226,[],0,[],0,03-21 12:11,03-21
227,[],0,[],0,03-21 12:16,03-21
228,[],0,['多'],1,03-21 12:25,03-21
229,[],0,['涨'],1,03-21 12:30,03-21
230,[],0,[],0,03-21 12:37,03-21
231,[],0,['拉升'],1,03-21 12:39,03-21
232,[],0,[],0,03-21 12:39,03-21
233,['亏'],1,['追'],1,03-21 12:39,03-21
234,['砸'],1,[],0,03-21 12:40,03-21
235,[],0,[],0,03-21 12:40,03-21
236,[],0,['拉升'],1,03-21 12:41,03-21
237,[],0,[],0,03-21 12:41,03-21
238,[],0,[],0,03-21 12:49,03-21
239,[],0,[],0,03-21 12:52,03-21
240,[],0,[],0,03-21 12:54,03-21
241,[],0,[],0,03-21 12:57,03-21
242,[],0,[],0,03-21 12:57,03-21
243,[],0,['买'],1,03-21 12:58,03-21
244,[],0,[],0,03-21 12:59,03-21
245,[],0,['涨'],1,03-21 12:59,03-21
246,[],0,[],0,03-21 12:59,03-21
247,[],0,[],0,03-21 12:59,03-21
248,['砸'],1,[],0,03-21 13:01,03-21
